Date,Ticker,Open,High,Low,Close,Volume
03/17/2016,VOO,186.42,188.24,186,187.75,"1,937,631"
03/16/2016,VOO,184.88,186.93,184.86,186.57,"2,700,754"
03/15/2016,VOO,184.7,185.46,184.42,185.46,"1,325,307"
03/14/2016,VOO,185.4,186.2,185.07,185.7,"1,412,806"
03/11/2016,VOO,184.57,186.01,184.46,185.98,"2,231,094"
03/10/2016,VOO,183.38,184.39,181.03,183.01,"2,090,526"
03/09/2016,VOO,182.85,183.22,182.01,182.91,"1,641,629"
03/08/2016,VOO,182.83,183.33,181.78,181.91,"3,385,371"
03/07/2016,VOO,182.85,184.39,182.75,183.98,"3,449,884"
03/04/2016,VOO,183.45,184.66,182.55,183.78,"2,821,028"
03/03/2016,VOO,182.27,183.23,181.7,183.19,"3,151,238"
03/02/2016,VOO,181.36,182.54,180.91,182.52,"3,839,431"
03/01/2016,VOO,178.84,181.75,178.33,181.75,"3,041,355"
02/29/2016,VOO,178.94,179.95,177.38,177.38,"3,128,430"
02/26/2016,VOO,180.2,180.36,178.74,178.98,"2,560,772"
02/25/2016,VOO,177.7,179.31,176.83,179.31,"2,546,042"
02/24/2016,VOO,174.79,177.45,173.6,177.18,"2,599,814"
02/23/2016,VOO,177.92,178.19,176.22,176.35,"2,076,023"
02/22/2016,VOO,177.78,178.75,177.71,178.59,"2,603,066"
02/19/2016,VOO,175.28,176.2,174.65,176.07,"1,136,909"
02/18/2016,VOO,177.2,177.22,175.8,176.11,"1,646,248"
02/17/2016,VOO,175.32,177.25,175.12,176.86,"2,265,428"
02/16/2016,VOO,173.2,174.01,172.05,174.01,"2,360,977"
02/12/2016,VOO,169.54,171.14,168.7,171.14,"1,800,434"
02/11/2016,VOO,167.26,168.72,166.05,167.7,"3,439,188"
02/10/2016,VOO,170.93,172.65,169.72,169.88,"1,953,557"
02/09/2016,VOO,168.18,171.37,167.97,169.99,"2,360,700"
02/08/2016,VOO,170.29,170.62,167.62,169.94,"3,402,156"
02/05/2016,VOO,175.04,175.19,171.65,172.31,"2,372,140"
02/04/2016,VOO,174.95,176.7,174.23,175.61,"3,562,207"
02/03/2016,VOO,175.47,175.81,171.57,175.39,"3,871,039"
02/02/2016,VOO,175.86,176.09,173.8,174.37,"5,101,178"
02/01/2016,VOO,176.61,178.39,175.91,177.59,"3,923,163"
01/29/2016,VOO,174.34,177.75,174.08,177.75,"4,453,063"
01/28/2016,VOO,174.13,174.35,171.65,173.36,"2,616,788"
01/27/2016,VOO,173.89,175.62,171.5,172.42,"3,543,044"
01/26/2016,VOO,172.85,174.66,172.39,174.4,"2,263,679"
01/25/2016,VOO,174.1,174.33,171.83,172.07,"2,756,669"
01/22/2016,VOO,174.03,174.86,173.18,174.66,"2,611,736"
01/21/2016,VOO,170.79,173.14,169.33,171.15,"3,004,560"
01/20/2016,VOO,169.59,171.88,165.96,170.32,"8,577,612"
01/19/2016,VOO,174.2,174.29,170.72,172.34,"5,863,327"
01/15/2016,VOO,171.2,173.06,170.1,172.15,"8,087,271"
01/14/2016,VOO,173.79,177.18,172.06,175.92,"5,081,427"
01/13/2016,VOO,178.43,178.64,172.72,173.11,"4,125,701"
01/12/2016,VOO,177.75,178.36,175.26,177.45,"2,998,751"
01/11/2016,VOO,177.04,177.32,174.06,175.99,"4,493,336"
01/08/2016,VOO,178.97,179.53,175.65,175.97,"7,357,283"
01/07/2016,VOO,179.15,181,177.5,177.86,"4,952,509"
01/06/2016,VOO,181.93,183.38,181.19,182.3,"2,755,124"
01/05/2016,VOO,184.57,185.12,183.43,184.64,"2,882,479"
01/04/2016,VOO,183.77,184.32,182.08,184.31,"4,193,516"
12/31/2015,VOO,188.12,188.76,186.93,186.93,"2,395,239"
12/30/2015,VOO,189.97,189.99,188.67,188.8,"2,535,957"
12/29/2015,VOO,189.43,190.51,189.34,190.2,"1,757,106"
12/28/2015,VOO,187.85,188.18,187,188.1,"2,668,300"
12/24/2015,VOO,188.69,189.17,188.34,188.51,"1,171,195"
12/23/2015,VOO,187.75,188.94,187.57,188.84,"2,275,458"
12/22/2015,VOO,185.85,186.89,184.8,186.6,"2,423,276"
12/21/2015,VOO,184.74,185.07,183.47,184.93,"2,168,689"
12/18/2015,VOO,186.95,187.08,184.4,184.4,"4,531,400"
12/17/2015,VOO,191.14,191.16,187.82,187.89,"3,096,008"
12/16/2015,VOO,189.28,191.08,187.7,190.67,"6,361,660"
12/15/2015,VOO,187.75,188.96,187.53,188.03,"3,799,323"
12/14/2015,VOO,185.32,186.09,183.31,186.09,"2,722,593"
12/11/2015,VOO,186.44,187.15,184.75,184.98,"3,084,361"
12/10/2015,VOO,188.5,190.18,188.1,188.74,"4,083,792"
12/09/2015,VOO,189.12,191.32,187.2,188.31,"4,500,277"
12/08/2015,VOO,189.25,190.72,188.67,189.73,"1,721,707"
